Subsistema,Energetico,Variable,UnidadDeMedida,Año,Cantidad
Internacional,"Petróleo Crudo, Condensado y Gasolina Natural",Exportación,Kbep,2006,1525.55
Internacional,"Petróleo Crudo, Condensado y Gasolina Natural",Exportación,Kbep,2007,1038.38
Internacional,"Petróleo Crudo, Condensado y Gasolina Natural",Exportación,Kbep,2012,300.71
Internacional,"Petróleo Crudo, Condensado y Gasolina Natural",Exportación,Kbep,2013,3122.44
Internacional,"Petróleo Crudo, Condensado y Gasolina Natural",Exportación,Kbep,2014,2867.29
Internacional,"Petróleo Crudo, Condensado y Gasolina Natural",Exportación,Kbep,2015,443.7
Internacional,Gas Natural,Exportación,Kbep,2006,64009.14
Internacional,Gas Natural,Exportación,Kbep,2007,70708.45
Internacional,Gas Natural,Exportación,Kbep,2008,73388.32
Internacional,Gas Natural,Exportación,Kbep,2009,59179.93
Internacional,Gas Natural,Exportación,Kbep,2010,70107.11
Internacional,Gas Natural,Exportación,Kbep,2011,75760.49
Internacional,Gas Natural,Exportación,Kbep,2012,88692.33
Internacional,Gas Natural,Exportación,Kbep,2013,102869.63
Internacional,Gas Natural,Exportación,Kbep,2014,106995.86
Internacional,Gas Natural,Exportación,Kbep,2015,105286.25
Internacional,Gas Natural,Exportación,Kbep,2016,96668.61
Internacional,Gas Natural,Exportación,Kbep,2017,92628.03
Internacional,Gas Natural,Exportación,Kbep,2018,84066.54
Internacional,Gas Natural,Exportación,Kbep,2019,71649.66
Internacional,Gas Natural,Exportación,Kbep,2020,72869.97
Internacional,Gas Natural,Exportación,Kbep,2021,72773.68
Internacional,Electricidad,Exportación,Kbep,2006,0.03
Internacional,Electricidad,Exportación,Kbep,2007,0.04
Internacional,Diesel Oil,Importación,Kbep,2006,2761.1
Internacional,Diesel Oil,Importación,Kbep,2007,3218.84
Internacional,Diesel Oil,Importación,Kbep,2008,2953.91
Internacional,Diesel Oil,Importación,Kbep,2009,3957.53
Internacional,Diesel Oil,Importación,Kbep,2010,4256.01
Internacional,Diesel Oil,Importación,Kbep,2011,4906.61
Internacional,Diesel Oil,Importación,Kbep,2012,4917.98
Internacional,Diesel Oil,Importación,Kbep,2013,5582.67
Internacional,Diesel Oil,Importación,Kbep,2014,5900.85
Internacional,Diesel Oil,Importación,Kbep,2015,5097
Internacional,Diesel Oil,Importación,Kbep,2016,5754.11
Internacional,Diesel Oil,Importación,Kbep,2017,6751.94
Internacional,Diesel Oil,Importación,Kbep,2018,7583.36
Internacional,Diesel Oil,Importación,Kbep,2019,9026.87
Internacional,Diesel Oil,Importación,Kbep,2020,6282.08
Internacional,Diesel Oil,Importación,Kbep,2021,9298.85
Optimización,Gas Natural,No aprovechado,Kbep,2006,533.35
Optimización,Gas Natural,No aprovechado,Kbep,2007,459.61
Optimización,Gas Natural,No aprovechado,Kbep,2008,539.56
Optimización,Gas Natural,No aprovechado,Kbep,2009,433.05
Optimización,Gas Natural,No aprovechado,Kbep,2010,522.85
Optimización,Gas Natural,No aprovechado,Kbep,2011,745.04
Optimización,Gas Natural,No aprovechado,Kbep,2012,424.82
Optimización,Gas Natural,No aprovechado,Kbep,2013,590.01
Optimización,Gas Natural,No aprovechado,Kbep,2014,408.95
Optimización,Gas Natural,No aprovechado,Kbep,2015,436.91
Optimización,Gas Natural,No aprovechado,Kbep,2016,523.77
Optimización,Gas Natural,No aprovechado,Kbep,2017,400.54
Optimización,Gas Natural,No aprovechado,Kbep,2018,449.63
Optimización,Gas Natural,No aprovechado,Kbep,2019,504.77
Optimización,Gas Natural,No aprovechado,Kbep,2020,401.61
Optimización,Gas Natural,No aprovechado,Kbep,2021,321.56
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2006,685.98
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2007,295.6
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2008,-539.77
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2009,-370.01
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2010,-347.18
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2011,-344.19
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2012,1754.66
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2013,-815.93
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2014,-88.81
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2015,-700.77
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2016,-225.14
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2017,-131.25
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2018,-479.28
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2019,-188.91
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2020,-377
Optimización,"Petróleo Crudo, Condensado y Gasolina Natural",AJUSTE,Kbep,2021,-694.05
Optimización,Gas Natural,AJUSTE,Kbep,2006,3433.49
Optimización,Gas Natural,AJUSTE,Kbep,2007,760.22
Optimización,Gas Natural,AJUSTE,Kbep,2008,43.28
Optimización,Gas Natural,AJUSTE,Kbep,2009,196.27
Optimización,Gas Natural,AJUSTE,Kbep,2010,344.49
Optimización,Gas Natural,AJUSTE,Kbep,2011,658.04
Optimización,Gas Natural,AJUSTE,Kbep,2012,432.7
Optimización,Gas Natural,AJUSTE,Kbep,2013,73.34
Optimización,Gas Natural,AJUSTE,Kbep,2014,587.33
Optimización,Gas Natural,AJUSTE,Kbep,2015,179.43
Optimización,Gas Natural,AJUSTE,Kbep,2016,266.97
Optimización,Gas Natural,AJUSTE,Kbep,2017,329.77
Optimización,Gas Natural,AJUSTE,Kbep,2018,328.45
Optimización,Gas Natural,AJUSTE,Kbep,2019,-316.65
